name,nation,genre,director,actor,audits
무적자,한국,"['드라마', '액션']",['송해성'],"['주진모', '송승헌', '김강우', '조한선', '최재원', '홍의정', '이신성', '임형준', '신창수', '박현', '한상현', '류근형', '이소희', '김재형', '김철준', '양은혜', '서태화', '박진우', '김해곤', '이기혁']",15세이상관람가
해결사,한국,"['액션', '스릴러']",['권혁재'],"['이영수', '설경구', '이정진', '오달수', '주진모', '문정희', '송새벽', '김형주', '황병국', '서동필', '김재민', '박연정', '김정팔', '이영훈', '이준규', '이재인', '이종석', '박진우', '이무생', '조영진']",15세이상관람가
인셉션,미국,"['드라마', '미스터리']",['크리스토퍼 놀란'],"['레오나르도 디카프리오', '엘렌 페이지', '마리옹 꼬띠아르']",12세이상관람가
이끼,한국,"['드라마', '스릴러']",['강우석'],"['정재영', '박해일', '유준상', '유선', '허준호', '유해진', '김상호', '김태한', '강신일', '이철민', '박정재', '유준상', '최근현', '윤아름', '오순태', '김철현', '장준녕']",청소년관람불가
슈렉 포에버,미국,"['애니메이션', '코미디', '가족']",['마이크 미첼'],"['마이크 마이어스', '카메론 디아즈', '에디 머피', '안토니오 반데라스', '장광', '김옥경', '이인성', '이봉준']",전체관람가
이클립스,미국,"['판타지', '멜로/로맨스', '스릴러']",['데이빗 슬레이드'],"['크리스틴 스튜어트', '로버트 패틴슨', '테일러 로트너']",12세이상관람가
포화속으로,한국,"['드라마', '전쟁']",['이재한'],"['차승원', '권상우', '최승현', '김승우', '김혜성', '신현탁', '문재원', '김득겸', '신경선', '추종범', '홍성진', '신성현', '김윤성', '장문석', '김한준', '황승현', '김동윤', '김동범', '서승택', '김경주', '김대연', '김규호', '채호병', '김태환', '유승현', '유영준', '최민석', '유한솔', '윤승훈', '장현근', '이성문', '정경일', '윤진태', '이세진', '정재훈', '정준혁', '김정섭', '김수형', '김승환', '이경현', '이현종', '고은총', '이동훈', '박진희', '데이비드 맥기니스', '남태부', '강필선', '진용욱', '김호원', '황유현', '염혜란']",12세이상관람가
방자전,한국,"['사극', '코미디', '멜로/로맨스']",['김대우'],"['김주혁', '류승범', '조여정', '류현경', '오달수', '송새벽', '오정세', '공형진', '김성령', '최무성', '김선영', '김민교', '조창현', '안정희', '박은혜', '조명행', '전세하', '김형석', '박영미', '문원주', '류현상', '송슬기', '박대희', '유은아', '정다혜', '윤주영', '최성일', '김탁호', '이진운', '양시은', '송지인']",청소년관람불가
페르시아의 왕자: 시간의 모래,미국,"['액션', '어드벤처', '판타지']",['마이크 뉴웰'],"['제이크 질렌할', '젬마 아터튼', '벤 킹슬리']",12세이상관람가
하녀,한국,"['스릴러', '멜로/로맨스']",['임상수'],"['전도연', '이정재', '윤여정', '서우', '박지영', '안서현', '황정민', '문소리', '신재민', '박지선', '박지선', '김지선', '전신환']",청소년관람불가
아이언맨 2,미국,"['SF', '액션', '어드벤처']",['존 파브로'],"['로버트 다우니 주니어', '기네스 팰트로우', '돈 치들', '스칼렛 요한슨', '미키 루크']",12세이상관람가
