yearWeekTime,rank,movieCd,movieNm,openDt,salesAmt,salesAcc,audiCnt,audiAcc,scrnCnt,showCnt
201047,4,20100213,부당거래,2010-10-28,1703364000,19866941000,221406,2575141,267,8214
201047,5,20101013,소셜 네트워크,2010-11-18,1287499000,3173990500,175880,428526,288,7723
201047,6,20101012,페스티발,2010-11-18,478084000,1453748000,62994,188270,228,5222
201047,7,20101070,언스토퍼블,2010-11-10,411615000,3179655500,59501,437784,246,3238
201047,8,20101206,더 콘서트,2010-11-25,405729500,410209500,55098,55658,130,3211
201047,9,20101170,렛 미 인,2010-11-18,331182000,1069619000,48820,154006,213,4276
201047,10,20101109,두 여자,2010-11-18,331554500,908768500,45676,120966,208,4248
201046,1,20101010,초능력자,2010-11-10,5243256000,12588177500,740423,1737009,593,19417
201046,2,20100213,부당거래,2010-10-28,2535215500,18163577000,329852,2353735,401,11400
201046,3,20101013,소셜 네트워크,2010-11-18,1745632500,1886491500,235508,252646,310,6169
201046,4,20101070,언스토퍼블,2010-11-10,1181094000,2768040500,167391,378283,297,8237
201046,5,20101012,페스티발,2010-11-18,975664000,975664000,125276,125276,234,5491
201046,6,20101170,렛 미 인,2010-11-18,737082000,738437000,104848,105186,228,5009
201046,7,20101011,쏘우 3D,2010-11-18,990084000,1006035000,78071,79330,160,4177
201046,8,20101109,두 여자,2010-11-18,577214000,577214000,75290,75290,216,4847
201046,9,20101009,불량남녀,2010-11-04,486965000,3488776500,68932,472349,277,5183
201046,10,20101008,레드,2010-11-03,487265500,3487447500,67876,472341,264,4876
201045,1,20101010,초능력자,2010-11-10,7298693500,7344921500,990548,996586,612,16033
201045,2,20100213,부당거래,2010-10-28,3810256000,15628361500,492251,2023883,459,15076
201045,3,20101070,언스토퍼블,2010-11-10,1541266000,1586946500,205244,210892,297,8855
201045,4,20101008,레드,2010-11-03,1252417500,3000182000,168855,404465,281,9722
201045,5,20101009,불량남녀,2010-11-04,1232570000,3001811500,166561,403417,322,10264
201045,6,20101006,가디언의 전설,2010-10-28,314471600,2507672900,39350,287638,204,2149
201045,7,20100302,심야의 F.M.,2010-10-14,240093500,9101073500,34050,1193874,247,3830
201045,8,20101069,데블,2010-11-04,239349000,791327000,32495,107433,172,4324
201045,9,20101038,대지진,2010-11-04,122532500,341775000,17462,48919,83,1467
201045,10,20101039,돌이킬 수 없는,2010-11-04,103835500,439753000,14491,60391,201,3100
201044,1,20100213,부당거래,2010-10-28,6283718500,11818105500,817278,1531632,502,16789
201044,2,20101008,레드,2010-11-03,1743802500,1747764500,235044,235610,317,7175
201044,3,20101009,불량남녀,2010-11-04,1729477500,1769241500,230366,236856,338,7999
201044,4,20100302,심야의 F.M.,2010-10-14,801086500,8860980000,106553,1159824,305,8555
201044,5,20101006,가디언의 전설,2010-10-28,774393700,2193201300,88257,248288,238,5705
201044,6,20101069,데블,2010-11-04,551978000,551978000,74938,74938,187,5098
201044,7,20101039,돌이킬 수 없는,2010-11-04,332317500,335917500,45450,45900,204,4866
201044,8,20101015,파라노말 액티비티 2,2010-10-21,223879000,2545295500,31185,354265,161,2579
201044,9,20101038,대지진,2010-11-04,217376500,219242500,30950,31457,90,1571
201044,10,20101007,나탈리,2010-10-28,348758500,1037504000,29833,88295,195,4153
201043,1,20100213,부당거래,2010-10-28,5534387000,5534387000,714354,714354,502,10016
201043,2,20100302,심야의 F.M.,2010-10-14,2127403500,8059893500,282371,1053271,342,12713
201043,3,20101006,가디언의 전설,2010-10-28,1418807600,1418807600,160031,160031,267,5682
201043,4,20101015,파라노말 액티비티 2,2010-10-21,1008182000,2321416500,141142,323080,196,6201
201043,5,20100834,시라노; 연애조작단,2010-09-16,654847000,19683751000,92071,2662315,254,6103
201043,6,20100835,방가? 방가!,2010-09-30,631992500,6889091000,90074,953934,233,5520
201043,7,20100975,레터스 투 줄리엣,2010-10-06,594723500,4023090000,82512,548318,204,4110
201043,8,20090950,월 스트리트: 머니 네버 슬립스,2010-10-21,557351000,1663573500,77453,227754,259,6466
201043,9,20101007,나탈리,2010-10-28,680057500,688745500,57083,58462,196,4717
201043,10,20100979,검우강호,2010-10-14,212226500,2225611500,31330,309910,260,3915
201042,1,20100302,심야의 F.M.,2010-10-14,3266365000,5932490000,425600,770900,386,14406
201042,2,20101015,파라노말 액티비티 2,2010-10-21,1313234500,1313234500,181938,181938,177,4371
201042,3,20100834,시라노; 연애조작단,2010-09-16,1178347500,19028904000,164864,2570244,284,8750
201042,4,20100835,방가? 방가!,2010-09-30,1122690000,6257098500,157145,863860,250,7478
201042,5,20090950,월 스트리트: 머니 네버 슬립스,2010-10-21,1106222500,1106222500,150301,150301,288,5520
201042,6,20100975,레터스 투 줄리엣,2010-10-06,938635000,3428366500,126365,465806,248,6506
201042,7,20100979,검우강호,2010-10-14,755846500,2013385000,103854,278580,280,8671
201042,8,20100977,적인걸: 측천무후의 비밀,2010-10-06,417678500,3249176000,58011,446561,255,5337
201042,9,20100057,참을 수 없는,2010-10-21,371488000,375088000,48958,49408,222,4876
201042,10,20100980,22 블렛,2010-10-14,301176000,924202500,40313,121544,231,5134
201041,1,20100302,심야의 F.M.,2010-10-14,2581385000,2666125000,332744,345300,423,9654
201041,2,20100834,시라노; 연애조작단,2010-09-16,1741574000,17850556500,245731,2405380,328,10662
201041,3,20100835,방가? 방가!,2010-09-30,1449109500,5134408500,206364,706715,312,9163
201041,4,20100979,검우강호,2010-10-14,1249817500,1257538500,173446,174726,344,7347
201041,5,20100975,레터스 투 줄리엣,2010-10-06,1241049000,2489731500,171112,339441,282,8878
201041,6,20100977,적인걸: 측천무후의 비밀,2010-10-06,1113184500,2831497500,156244,388550,292,9396
